id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Norberto;Nogueira;Vitor_Braga@hotmail.com;amar;2025-12-24T09:22:54;22950;7230
2;Marcelo;Braga;Marcos72@hotmail.com;comentar bolo;2025-12-23T16:22:42;1823;8981
3;Sílvia;Franco;Isabel42@yahoo.com;folha since how;2025-12-24T11:49:40;3862;4196
4;Emanuel;Souza;Rebeca_Xavier48@gmail.com;camisa bicho;2025-12-24T00:45:04;3758;13024
5;Bryan;Pereira;Janaina.Franco@hotmail.com;acordar during;2025-12-24T05:00:54;5719;31950
6;Bryan;Martins;Warley84@gmail.com;reivindicar;2025-12-24T11:29:11;4079;31125
7;Feliciano;Santos;Julia.Batista39@gmail.com;er fosco;2025-12-24T02:08:18;11354;31911
8;Giovanna;Souza;Enzo_Saraiva85@bol.com.br;vainly ack;2025-12-23T16:05:36;29325;31944
9;Larissa;Albuquerque;AnaJulia.Moreira@hotmail.com;irresponsável oof pish;2025-12-24T10:39:01;10580;4727
10;Aline;Moreira;Anthony_Albuquerque@live.com;gah duh what;2025-12-24T01:33:50;20974;15791
